"COUNTRY_CODE","INDICATOR","UNIT","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"USA","Price to rent ratio","Index",100,101.744984189555,104.031465905999,106.561441756152,107.92670866782,112.870923932862,128.778623152048,138.420818765603,NA
"KOR","Price to rent ratio","Index",100,99.7662715792882,99.3700370485156,100.124892633552,99.9326583385677,103.052801383194,110.56868592678,110.835407772346,NA
"EST","Price to rent ratio","Index",100,98.3194442308326,96.69348408646,95.9919309849826,95.824970164026,106.194628748321,117.566190564193,117.8620595623,NA
"ESP","Price to rent ratio","Index",100,104.712331439898,110.741595654005,116.714037313982,120.895603541469,122.208021874088,125.947804751695,133.476350188837,NA
"FRA","Price to rent ratio","Index",100,100.597362535959,103.442017754049,106.888507566087,109.937077869293,115.601062992646,122.277725872514,129.133249788001,NA
"NZL","Price to rent ratio","Index",100,111.721007295717,116.399454703431,117.839405327236,118.286536790873,126.133322342943,154.585725660483,149.199169565775,NA
"BEL","Price to rent ratio","Index",100,101.684075603523,104.256584334685,106.146669346941,109.202460906885,110.848639603041,116.397554633446,118.779980789764,NA
"JPN","Price to rent ratio","Index",100,102.51108717768,105.406493251206,107.614825854239,109.339950630847,109.381318556582,116.014394731244,125.669082743771,NA
"AUS","Price to rent ratio","Index",100,104.714432181813,112.746804596009,110.409259133953,105.540457268369,112.29007922079,132.075474641107,137.692110194705,NA
"CHE","Price to rent ratio","Index",100,101.307184534839,102.174473195775,104.887399092187,108.112078198648,111.840204481753,118.467062935297,125.618817239268,NA
"IRL","Price to rent ratio","Index",100,104.693309617383,111.787406648059,118.082015802131,115.546766384805,114.908960966417,121.078785601089,124.39931766864,NA
"LUX","Price to rent ratio","Index",100,105.111647511185,109.732756682666,116.007283801068,126.03803096263,142.756752077865,160.418393840119,172.751283488725,NA
"LVA","Price to rent ratio","Index",100,110.019683414375,120.074306123791,126.309779315802,131.480246642122,139.165516942333,151.767354144877,167.956359224172,NA
"GBR","Price to rent ratio","Index",100,105.170128625393,108.905176037368,111.953451238328,112.2012884438,113.767736848082,121.812009142779,129.144317971989,NA
